               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.075551,              0.1711,            0.031451,             0.68362,             0.17505,             0.17441,            0.050825,            0.064312,             0.11421,             0.03062,           0.0078616,           0.0078616,           0.0078616
                 110,            0.075168,             0.16824,            0.030136,             0.66178,            0.080768,            0.090037,            0.026427,            0.072726,             0.11194,            0.036778,           0.0078418,           0.0078418,           0.0078418
                 111,            0.077088,             0.16491,            0.030732,             0.59563,            0.064523,            0.060107,            0.014315,            0.075758,             0.10915,            0.037115,            0.007822,            0.007822,            0.007822
                 112,            0.074458,             0.17972,            0.030219,             0.36819,             0.13167,              0.1006,             0.02553,            0.068448,             0.11191,            0.032432,           0.0078022,           0.0078022,           0.0078022
                 113,            0.075596,             0.17598,            0.032346,             0.17354,             0.19373,             0.13643,            0.041406,            0.064055,             0.11383,             0.02918,           0.0077824,           0.0077824,           0.0077824
                 114,            0.074718,             0.15777,            0.030411,             0.53088,             0.20575,             0.15139,            0.048133,            0.064553,             0.11541,            0.027209,           0.0077626,           0.0077626,           0.0077626
                 115,            0.073997,             0.16364,            0.031342,              0.5783,             0.23915,             0.20219,            0.061912,            0.063103,             0.11348,            0.027033,           0.0077428,           0.0077428,           0.0077428
                 116,            0.074065,             0.16708,            0.030297,              0.6734,             0.24282,             0.21935,            0.070989,             0.06268,             0.11366,            0.027017,            0.007723,            0.007723,            0.007723
                 117,            0.074527,             0.15688,            0.029632,           0.0026193,             0.12811,           0.0023959,          0.00062475,            0.091003,             0.10571,            0.048958,           0.0077032,           0.0077032,           0.0077032
                 118,            0.073843,             0.17306,            0.028018,             0.12525,             0.28845,             0.15547,            0.044521,            0.066977,             0.11578,            0.029964,           0.0076834,           0.0076834,           0.0076834
                 119,            0.075218,             0.16167,            0.028686,             0.62365,              0.1079,            0.091831,            0.024518,            0.067108,             0.11228,            0.032267,           0.0076636,           0.0076636,           0.0076636
                 120,            0.075137,             0.17241,            0.028988,             0.65958,             0.16148,              0.1717,            0.049119,            0.062478,             0.12356,            0.027713,           0.0076438,           0.0076438,           0.0076438
                 121,            0.074845,             0.17355,            0.027864,             0.71839,              0.1914,             0.20447,            0.063973,            0.062497,             0.11313,            0.028131,            0.007624,            0.007624,            0.007624
                 122,             0.07326,             0.15495,            0.029403,             0.61561,             0.22775,             0.22779,             0.07612,            0.061008,             0.11044,            0.026455,           0.0076042,           0.0076042,           0.0076042
                 123,            0.074476,             0.16804,            0.029472,             0.65918,             0.21734,             0.20719,            0.068728,            0.060729,             0.11012,            0.026376,           0.0075844,           0.0075844,           0.0075844
                 124,            0.074356,             0.16233,            0.028474,             0.54987,             0.26428,             0.20939,            0.067134,            0.060952,             0.11015,             0.02679,           0.0075646,           0.0075646,           0.0075646
                 125,            0.072946,             0.16072,            0.027039,             0.62785,             0.20424,             0.22055,            0.072125,            0.060074,             0.11287,             0.02791,           0.0075448,           0.0075448,           0.0075448
                 126,            0.072166,             0.16426,            0.027559,             0.68881,             0.20925,             0.21116,            0.072263,             0.06032,             0.10908,            0.027216,            0.007525,            0.007525,            0.007525
                 127,            0.072636,             0.16687,            0.028506,             0.72437,             0.16738,             0.20391,            0.072139,            0.060397,              0.1097,            0.027465,           0.0075052,           0.0075052,           0.0075052
                 128,            0.072044,              0.1544,            0.026744,              0.7299,             0.17904,             0.24752,            0.090595,            0.058763,             0.11016,            0.025268,           0.0074854,           0.0074854,           0.0074854
                 129,            0.071753,              0.1647,            0.030074,             0.70271,             0.21985,             0.26002,            0.090969,            0.059779,             0.11032,            0.024535,           0.0074656,           0.0074656,           0.0074656
                 130,            0.069994,             0.16238,            0.029278,             0.68901,             0.22936,             0.24184,            0.079493,            0.061373,             0.11341,            0.024192,           0.0074458,           0.0074458,           0.0074458
                 131,            0.071961,             0.16619,            0.028672,             0.61608,             0.24784,             0.23247,            0.078032,            0.061191,              0.1124,            0.024405,            0.007426,            0.007426,            0.007426
                 132,            0.071856,             0.17147,            0.026976,             0.53769,              0.2308,             0.20268,             0.06755,            0.062668,             0.11196,            0.024838,           0.0074062,           0.0074062,           0.0074062
                 133,            0.070004,             0.16603,            0.028019,             0.26113,             0.31432,             0.21475,            0.061727,            0.062303,             0.11117,            0.029555,           0.0073864,           0.0073864,           0.0073864
                 134,            0.073797,             0.17211,            0.027746,              0.2044,             0.43702,             0.29346,            0.096564,            0.060533,             0.11211,            0.023994,           0.0073666,           0.0073666,           0.0073666
                 135,            0.069604,             0.17502,            0.025365,             0.53544,              0.2074,             0.22963,            0.073031,            0.059986,             0.11177,            0.025507,           0.0073468,           0.0073468,           0.0073468
                 136,            0.069496,             0.16389,            0.025849,             0.12093,             0.37949,             0.14437,             0.04404,            0.065377,             0.11271,            0.026575,            0.007327,            0.007327,            0.007327
                 137,            0.072184,             0.16909,            0.025539,             0.18606,             0.34051,             0.23032,            0.073326,            0.060634,             0.10784,            0.025548,           0.0073072,           0.0073072,           0.0073072
                 138,            0.070126,              0.1581,            0.029158,             0.61495,             0.22734,             0.27755,             0.10169,            0.057873,             0.10875,            0.025313,           0.0072874,           0.0072874,           0.0072874
                 139,            0.072515,             0.17028,            0.028818,             0.18792,             0.31444,             0.17882,            0.056018,            0.062032,             0.11231,            0.025769,           0.0072676,           0.0072676,           0.0072676
                 140,            0.072229,             0.16002,            0.026166,             0.57917,             0.18117,             0.23404,            0.077773,            0.062195,             0.10863,            0.026011,           0.0072478,           0.0072478,           0.0072478
                 141,             0.06979,             0.16387,            0.025576,             0.19433,             0.49141,             0.26329,            0.093665,            0.059812,             0.11549,            0.022912,            0.007228,            0.007228,            0.007228
                 142,            0.067838,             0.15824,            0.025987,             0.23484,             0.44537,             0.31646,             0.11492,            0.058686,             0.11096,            0.022181,           0.0072082,           0.0072082,           0.0072082
                 143,            0.068006,             0.17371,            0.028248,             0.28922,              0.4375,             0.33518,             0.12379,            0.057286,             0.10986,            0.022505,           0.0071884,           0.0071884,           0.0071884
                 144,            0.070426,             0.14833,            0.027206,             0.28897,             0.32664,             0.25393,            0.086009,            0.060864,             0.11134,            0.025371,           0.0071686,           0.0071686,           0.0071686
                 145,            0.068997,             0.16527,            0.026039,             0.29785,             0.41172,             0.30853,             0.11442,             0.05647,             0.10889,            0.023885,           0.0071488,           0.0071488,           0.0071488
                 146,            0.067203,             0.16716,            0.027533,             0.30166,             0.40141,             0.31715,             0.10932,            0.056909,             0.11011,            0.023789,            0.007129,            0.007129,            0.007129
                 147,            0.068088,             0.16071,            0.027482,             0.22737,             0.34352,             0.25507,            0.085232,            0.058003,             0.11043,            0.024482,           0.0071092,           0.0071092,           0.0071092
                 148,            0.066182,             0.15165,            0.025972,             0.28171,             0.36032,             0.26867,             0.08604,            0.057946,             0.11008,            0.024313,           0.0070894,           0.0070894,           0.0070894
                 149,            0.071086,             0.17058,            0.027291,              0.3144,             0.28536,             0.24513,            0.086079,            0.061414,             0.10796,            0.026246,           0.0070696,           0.0070696,           0.0070696
                 150,            0.071202,             0.16418,            0.027774,             0.21549,             0.21586,             0.17958,            0.057636,            0.061321,             0.11098,            0.028653,           0.0070498,           0.0070498,           0.0070498
                 151,            0.069766,             0.16467,            0.023915,             0.28552,             0.37004,              0.2151,            0.070552,            0.060161,             0.10499,            0.023331,             0.00703,             0.00703,             0.00703
                 152,            0.069848,             0.17741,            0.022634,             0.27478,             0.34765,             0.25067,             0.07222,            0.061907,             0.10663,            0.021708,           0.0070102,           0.0070102,           0.0070102
                 153,            0.071017,             0.16485,            0.024586,               0.315,             0.34521,             0.25949,            0.084478,            0.060382,              0.1035,            0.024169,           0.0069904,           0.0069904,           0.0069904
                 154,            0.068834,             0.14992,            0.026014,             0.30786,             0.40836,             0.31508,             0.10825,            0.057791,             0.10648,            0.023351,           0.0069706,           0.0069706,           0.0069706
                 155,             0.06809,             0.17416,            0.023686,             0.21867,             0.25825,             0.18782,             0.06508,             0.06154,               0.112,            0.027568,           0.0069508,           0.0069508,           0.0069508
